C:/Users/Bowers/Documents/minecraft-worlds/mc-server/internalStorage/Dedicated_Server.txt
[2020-06-12 22:45:59 INFO] Running AutoCompaction...
[2020-06-12 22:51:59 INFO] Running AutoCompaction...
[2020-06-12 22:57:59 INFO] Running AutoCompaction...
[2020-06-12 23:03:59 INFO] Running AutoCompaction...
[2020-06-12 23:09:59 INFO] Running AutoCompaction...
[2020-06-12 23:15:59 INFO] Running AutoCompaction...
[2020-06-12 23:21:59 INFO] Running AutoCompaction...
[2020-06-12 23:27:59 INFO] Running AutoCompaction...
[2020-06-12 23:33:59 INFO] Running AutoCompaction...
[2020-06-12 23:39:59 INFO] Running AutoCompaction...
[2020-06-12 23:46:00 INFO] Running AutoCompaction...
[2020-06-12 23:52:00 INFO] Running AutoCompaction...
[2020-06-12 23:58:00 INFO] Running AutoCompaction...
[2020-06-13 00:04:00 INFO] Running AutoCompaction...
[2020-06-13 00:10:00 INFO] Running AutoCompaction...
[2020-06-13 00:16:00 INFO] Running AutoCompaction...
[2020-06-13 00:22:00 INFO] Running AutoCompaction...
[2020-06-13 00:28:00 INFO] Running AutoCompaction...
[2020-06-13 00:34:00 INFO] Running AutoCompaction...
[2020-06-13 00:40:00 INFO] Running AutoCompaction...
[2020-06-13 00:46:00 INFO] Running AutoCompaction...
[2020-06-13 00:52:00 INFO] Running AutoCompaction...
[2020-06-13 00:58:01 INFO] Running AutoCompaction...
[2020-06-13 01:04:01 INFO] Running AutoCompaction...
[2020-06-13 01:10:01 INFO] Running AutoCompaction...
[2020-06-13 01:16:01 INFO] Running AutoCompaction...
[2020-06-13 01:22:01 INFO] Running AutoCompaction...
[2020-06-13 01:28:01 INFO] Running AutoCompaction...
[2020-06-13 01:34:01 INFO] Running AutoCompaction...
[2020-06-13 01:40:01 INFO] Running AutoCompaction...
[2020-06-13 01:46:01 INFO] Running AutoCompaction...
[2020-06-13 01:52:01 INFO] Running AutoCompaction...
[2020-06-13 01:58:01 INFO] Running AutoCompaction...
[2020-06-13 02:04:01 INFO] Running AutoCompaction...
[2020-06-13 02:10:01 INFO] Running AutoCompaction...
[2020-06-13 02:16:02 INFO] Running AutoCompaction...
[2020-06-13 02:22:02 INFO] Running AutoCompaction...
[2020-06-13 02:28:02 INFO] Running AutoCompaction...
